--------------------
Position(x=225.6467742919922, y=104.08454132080078, z=-13.68170166015625, rotation=24.76255226135254)
Position(x=84.85926055908203, y=-138.1230926513672, z=-15.725090026855469, rotation=-58.434505462646484)
Position(x=301.1123352050781, y=-59.68180465698242, z=-25.36117935180664, rotation=-11.210976600646973)
Position(x=189.09603881835938, y=134.5336151123047, z=-6.17230224609375, rotation=35.430198669433594)
--------------------
Position(x=229.2220916748047, y=0.0, z=-9.930564880371094, rotation=0.0)
Position(x=290.16802978515625, y=-166.8487091064453, z=-6.480579376220703, rotation=-29.899211883544922)
Position(x=290.16802978515625, y=-166.8487091064453, z=-6.480579376220703, rotation=-29.899211883544922)
Position(x=81.31417846679688, y=-215.95352172851562, z=14.860542297363281, rotation=-69.36685943603516)
Position(x=144.16458129882812, y=-300.76513671875, z=-16.428604125976562, rotation=-64.39038848876953)
Position(x=-42.772193908691406, y=-320.0948486328125, z=-46.623863220214844, rotation=-97.61097717285156)
